(DRIVE TRUCK1 DISTRIBUTOR0 DEPOT0)
(DRIVE TRUCK0 DISTRIBUTOR0 DEPOT1)
(LIFT HOIST0 CRATE5 PALLET1 DEPOT0)
(LIFT HOIST2 CRATE0 CRATE3 DEPOT1)
(LOAD HOIST2 CRATE0 TRUCK0 DEPOT1)
(LIFT HOIST2 CRATE3 CRATE4 DEPOT1)
(LOAD HOIST2 CRATE3 TRUCK0 DEPOT1)
(LIFT HOIST2 CRATE4 CRATE2 DEPOT1)
(LOAD HOIST2 CRATE4 TRUCK0 DEPOT1)
(LOAD HOIST0 CRATE5 TRUCK1 DEPOT0)
(DRIVE TRUCK0 DEPOT1 DEPOT0)
(UNLOAD HOIST0 CRATE3 TRUCK0 DEPOT0)
(DROP HOIST0 CRATE3 PALLET1 DEPOT0)
(UNLOAD HOIST0 CRATE0 TRUCK0 DEPOT0)
(DROP HOIST0 CRATE0 CRATE3 DEPOT0)
(DRIVE TRUCK1 DEPOT0 DISTRIBUTOR0)
(LIFT HOIST1 CRATE1 PALLET2 DISTRIBUTOR0)
(LOAD HOIST1 CRATE1 TRUCK1 DISTRIBUTOR0)
(DRIVE TRUCK1 DISTRIBUTOR0 DEPOT0)
(UNLOAD HOIST0 CRATE1 TRUCK1 DEPOT0)
(DRIVE TRUCK0 DEPOT0 DISTRIBUTOR0)
(UNLOAD HOIST1 CRATE4 TRUCK0 DISTRIBUTOR0)
(DROP HOIST1 CRATE4 PALLET2 DISTRIBUTOR0)
(DROP HOIST0 CRATE1 CRATE0 DEPOT0)
(UNLOAD HOIST0 CRATE5 TRUCK1 DEPOT0)
(DROP HOIST0 CRATE5 CRATE1 DEPOT0)
