(DRIVE TRUCK2 DISTRIBUTOR0 DEPOT1)
(LIFT HOIST3 CRATE2 PALLET0 DISTRIBUTOR1)
(LOAD HOIST3 CRATE2 TRUCK1 DISTRIBUTOR1)
(LIFT HOIST2 CRATE0 CRATE1 DEPOT1)
(LOAD HOIST2 CRATE0 TRUCK2 DEPOT1)
(LIFT HOIST2 CRATE1 PALLET3 DEPOT1)
(LOAD HOIST2 CRATE1 TRUCK2 DEPOT1)
(DRIVE TRUCK2 DEPOT1 DEPOT2)
(UNLOAD HOIST4 CRATE0 TRUCK2 DEPOT2)
(DRIVE TRUCK2 DEPOT2 DISTRIBUTOR1)
(UNLOAD HOIST3 CRATE1 TRUCK2 DISTRIBUTOR1)
(DRIVE TRUCK1 DISTRIBUTOR1 DISTRIBUTOR0)
(UNLOAD HOIST5 CRATE2 TRUCK1 DISTRIBUTOR0)
(DROP HOIST3 CRATE1 PALLET0 DISTRIBUTOR1)
(DROP HOIST5 CRATE2 PALLET1 DISTRIBUTOR0)
(DROP HOIST4 CRATE0 PALLET2 DEPOT2)
