(DRIVE TRUCK2 DEPOT0 DEPOT1)
(LIFT HOIST3 CRATE2 PALLET1 DEPOT1)
(LOAD HOIST3 CRATE2 TRUCK2 DEPOT1)
(DRIVE TRUCK2 DEPOT1 DEPOT0)
(LIFT HOIST1 CRATE0 PALLET2 DEPOT2)
(LOAD HOIST1 CRATE0 TRUCK1 DEPOT2)
(DRIVE TRUCK1 DEPOT2 DEPOT1)
(UNLOAD HOIST3 CRATE0 TRUCK1 DEPOT1)
(DROP HOIST3 CRATE0 PALLET1 DEPOT1)
(DRIVE TRUCK2 DEPOT0 DISTRIBUTOR1)
(LIFT HOIST0 CRATE1 PALLET4 DISTRIBUTOR1)
(LOAD HOIST0 CRATE1 TRUCK2 DISTRIBUTOR1)
(UNLOAD HOIST0 CRATE2 TRUCK2 DISTRIBUTOR1)
(DRIVE TRUCK2 DISTRIBUTOR1 DEPOT0)
(UNLOAD HOIST4 CRATE1 TRUCK2 DEPOT0)
(DROP HOIST4 CRATE1 PALLET3 DEPOT0)
(DROP HOIST0 CRATE2 PALLET4 DISTRIBUTOR1)
