(SWITCH_ON INSTRUMENT0 SATELLITE3)
(SWITCH_ON INSTRUMENT4 SATELLITE1)
(TURN_TO SATELLITE3 PLANET11 STAR8)
(TURN_TO SATELLITE2 PHENOMENON5 PLANET10)
(TURN_TO SATELLITE1 PLANET10 STAR7)
(CALIBRATE SATELLITE1 INSTRUMENT4 PLANET10)
(TURN_TO SATELLITE1 PHENOMENON5 PLANET10)
(TAKE_IMAGE SATELLITE1 PHENOMENON5 INSTRUMENT4 IMAGE1)
(TURN_TO SATELLITE1 PLANET8 PHENOMENON5)
(TAKE_IMAGE SATELLITE1 PLANET8 INSTRUMENT4 IMAGE1)
(TURN_TO SATELLITE1 PLANET9 PLANET8)
(TAKE_IMAGE SATELLITE1 PLANET9 INSTRUMENT4 IMAGE0)
(TURN_TO SATELLITE1 STAR1 PLANET9)
(TURN_TO SATELLITE3 PLANET9 PLANET11)
(CALIBRATE SATELLITE3 INSTRUMENT0 PLANET9)
(TURN_TO SATELLITE3 PLANET11 PLANET9)
(TAKE_IMAGE SATELLITE3 PLANET11 INSTRUMENT0 IMAGE2)
(TURN_TO SATELLITE1 STAR6 STAR1)
(TAKE_IMAGE SATELLITE1 STAR6 INSTRUMENT4 IMAGE1)
(TURN_TO SATELLITE1 STAR1 STAR6)
