(SWITCH_ON INSTRUMENT4 SATELLITE1)
(CALIBRATE SATELLITE1 INSTRUMENT4 PLANET8)
(SWITCH_ON INSTRUMENT2 SATELLITE0)
(TURN_TO SATELLITE2 PHENOMENON5 STAR6)
(TURN_TO SATELLITE1 PLANET9 PLANET8)
(TAKE_IMAGE SATELLITE1 PLANET9 INSTRUMENT4 IMAGE3)
(TURN_TO SATELLITE1 STAR3 PLANET9)
(TURN_TO SATELLITE3 PLANET10 GROUNDSTATION0)
(TURN_TO SATELLITE0 PLANET8 PHENOMENON5)
(CALIBRATE SATELLITE0 INSTRUMENT2 PLANET8)
(TAKE_IMAGE SATELLITE0 PLANET8 INSTRUMENT2 IMAGE0)
(TURN_TO SATELLITE0 PHENOMENON5 PLANET8)
(TAKE_IMAGE SATELLITE0 PHENOMENON5 INSTRUMENT2 IMAGE0)
(TURN_TO SATELLITE0 PLANET10 PHENOMENON5)
(TAKE_IMAGE SATELLITE0 PLANET10 INSTRUMENT2 IMAGE0)
(TURN_TO SATELLITE3 STAR7 PLANET10)
(TURN_TO SATELLITE0 STAR7 PLANET10)
(TAKE_IMAGE SATELLITE0 STAR7 INSTRUMENT2 IMAGE0)
